"Bankrupt","Year","AR_by_OpIncome","FB_Plus_OpInc_ByFB","PercentMedicaidDays","PercentMedicareDays","CurrentRatio","Debt2Equity","DaysSalesOutstanding","LaborCompRatio","OpProfitMargin","DaysCashOnHand","BedUtil","AdjPxDays","Alt1Ohls3","AltmanX2","AltmanX3","AltmanX4","OhlsonX1","OhlsonX2","OhlsonX4","OhlsonX6","OhlsonX7","OhlsonX9","OhlsonX5","OhlsonX8","Govt","Urban","ForProfit","HC1","HC2","HC4","HC5","AR_by_OpIncome.y.1.","FB_Plus_OpInc_ByFB.y.1.","PercentMedicaidDays.y.1.","PercentMedicareDays.y.1.","CurrentRatio.y.1.","Debt2Equity.y.1.","DaysSalesOutstanding.y.1.","LaborCompRatio.y.1.","OpProfitMargin.y.1.","DaysCashOnHand.y.1.","BedUtil.y.1.","AdjPxDays.y.1.","Alt1Ohls3.y.1.","AltmanX2.y.1.","AltmanX3.y.1.","AltmanX4.y.1.","OhlsonX1.y.1.","OhlsonX2.y.1.","OhlsonX4.y.1.","OhlsonX6.y.1.","OhlsonX7.y.1.","OhlsonX9.y.1.","OhlsonX5.y.1.","OhlsonX8.y.1.","HC4_5.y.1.","AR_by_OpIncome.y.2.","FB_Plus_OpInc_ByFB.y.2.","PercentMedicaidDays.y.2.","PercentMedicareDays.y.2.","CurrentRatio.y.2.","Debt2Equity.y.2.","DaysSalesOutstanding.y.2.","LaborCompRatio.y.2.","OpProfitMargin.y.2.","DaysCashOnHand.y.2.","BedUtil.y.2.","AdjPxDays.y.2.","Alt1Ohls3.y.2.","AltmanX2.y.2.","AltmanX3.y.2.","AltmanX4.y.2.","OhlsonX1.y.2.","OhlsonX2.y.2.","OhlsonX4.y.2.","OhlsonX6.y.2.","OhlsonX7.y.2.","OhlsonX9.y.2.","OhlsonX5.y.2.","OhlsonX8.y.2.","D_AR_by_OpIncome","D_FB_Plus_OpInc_ByFB","D_CurrentRatio","D_Debt2Equity","D_LiabFundBalRatio","D_DaysSalesOutstanding","D_LaborCompRatio","D_OpProfitMargin","D_DaysCashOnHand","D_BedUtil","D_AdjPxDays","D_Alt1Ohls3","D_AltmanX2","D_AltmanX3","D_AltmanX4","D_OhlsonX1","D_OhlsonX2","D_OhlsonX4","D_OhlsonX6","D_OhlsonX7","D_OhlsonX9","NegLiab.y.1.","NegLiab.y.2."
1,2020,1.453,1.12,0.08,0.26,0.44,-0.72,37.04,0.52,-0.05,21.37,0.5,8.693991,-0.76,-0.01,-0.09,0,11.69,2.27,2.28,0.05,-0.04,-778079,1,0,0,0,0,0,1,0,0,0.076,1.42,0.08,0.26,0.46,-0.7,53.68,0.62,-0.19,19.54,0.55,9.733034,-0.72,-1.14,-0.42,-0.54,11.8,2.13,2.17,-0.4,-0.2,-105840723,1,1,0,0.042,-72.98,0.08,0.26,1.02,73.74,57.03,0.61,-0.37,10.7,0.6,10.025539,0.01,0,-0.5,0,12.22,0.99,0.98,-0.48,-0.5,0,0,1,18.11842105,-0.211267606,-0.043478261,0.028571429,-0.052910053,-0.309985097,-0.161290323,-0.736842105,0.093654043,-0.090909091,-0.106754276,0.055555556,-0.99122807,-0.785714286,-1,-0.009322034,0.0657277,0.050691244,-1.125,-0.8,-0.992648586,0,0
1,2018,0.092,1.13,0.02,0.56,0.17,0.32,-49.55,0.27,0.1,-4.69,0.2,1.118924,3.07,0.64,0.96,454174600,9.23,-3.7,5.9,0.64,681440300,4541746,0,0,0,0,1,0,0,0,1,0.136,1.08,0.02,0.56,0.15,0,-39.83,0.27,0.06,-4.74,0.15,0.9486,1.36,0.22,0.39,242727400,9.68,-1.6,6.63,0.22,438400100,2427274,0,0,1,0.02,1.18,0.02,0.56,0,0.32,-19.72,0.26,0.12,-5.69,0.15,1.041821,0.69,-4.83,0.47,-7585383800,10.02,-0.69,1675.99,0.32,743141800,-75853838,0,0,-0.323529412,0.046296296,0.133333333,32,0.274193548,0.244037158,0,0.666666667,-0.010548523,0.333333333,0.179553026,1.257352941,1.909090909,1.461538462,0.87113033,-0.046487603,1.3125,-0.110105581,1.909090909,0.554379892,0.87113033,1,1
1,2019,0.089,1.25,0.06,0.46,0.49,-0.57,68.33,0.62,-0.21,38.75,0.15,0.521381,-0.91,-0.41,-0.33,-0.15,8.85,2.78,2.06,-0.18,-0.12,-1991718,0,1,1,1,0,0,0,0,0,0.103,1.4,0.06,0.46,0.63,-0.74,108.84,0.72,-0.29,0.02,0.13,0.339344,-0.5,-0.55,-0.42,-0.24,8.94,2.26,1.59,-0.29,-0.18,-2901842,0,1,0,0.135,1.78,0.06,0.46,1.18,-1.29,174.39,0.73,-0.35,1.23,0.11,0.238909,0.14,-0.32,-0.44,-0.19,9.04,1.65,0.85,-0.3,-0.26,-1848330,0,1,-0.13592233,-0.107142857,-0.222222222,-0.22972973,-0.12849162,-0.372197721,-0.138888889,-0.275862069,1936.5,0.153846154,0.536437951,0.82,-0.254545455,-0.214285714,-0.375,-0.010067114,0.230088496,0.295597484,-0.379310345,-0.333333333,-0.313636649,0,0
1,2009,0.181,1.47,0.06,0.25,0.41,-0.88,44.15,0.49,-0.24,1.71,0.52,7.655179,-0.66,-0.18,-0.28,-0.09,11.49,2.02,2.43,-0.09,-0.14,-12351926,1,1,0,0,1,0,0,0,0,0.042,1.71,0.06,0.25,0.4,-0.99,48.09,0.57,-0.31,5.67,0.57,8.004863,-0.6,-0.22,-0.53,-0.12,11.52,1.81,2.49,-0.22,-0.29,-15576631,1,1,0,0.046,2.11,0.06,0.25,0.47,-1.37,57.88,0.55,-0.34,1.88,0.56,7.807614,-0.41,-0.33,-0.53,-0.21,11.53,1.58,2.12,-0.34,-0.33,-23705000,1,1,3.30952381,-0.140350877,0.025,-0.111111111,-0.112107623,-0.081929715,-0.140350877,-0.225806452,-0.698412698,-0.087719298,-0.043683946,0.1,-0.181818182,-0.471698113,-0.25,-0.002604167,0.116022099,-0.024096386,-0.590909091,-0.517241379,-0.207021981,0,0
1,2015,8.402,1,0.03,0.48,-0.22,0.13,50.35,0.59,0,2.72,0.22,1.503267,2.14,0.4,0.06,267067400,9.18,-1.43,-4.59,0.4,42233700,2670674,0,0,0,0,1,0,1,0,0,2.277,0.62,0.03,0.48,-0.51,0.02,74.17,0.9,-0.6,0.38,0.24,1.425343,1.3,0.36,-0.63,271742300,9.28,-0.83,-1.94,0.36,-474831300,2717423,0,0,0,2.866,0.76,0.03,0.48,-0.66,0.32,52.76,0.71,-0.22,1.68,0.28,1.471132,1.03,2.99,-0.33,2030346200,9.18,-0.62,-1.52,0.24,-220620700,20303462,0,0,2.689942907,0.612903226,-0.568627451,5.5,0.311111111,-0.321154105,-0.344444444,-1,6.157894737,-0.083333333,0.05467035,0.646153846,0.111111111,-1.095238095,-0.017203431,-0.010775862,0.722891566,1.365979381,0.111111111,-1.088944642,-0.017203431,1,1
1,2018,8.288,1.08,0.04,0.31,3.9,0.32,85.4,0.35,0.05,-6.76,0.56,7.791521,0.27,0.08,0.13,0.82,11.94,0.09,0.26,0.08,1.36,8279780,0,0,0,0,1,0,1,0,0,0.52,0.96,0.04,0.31,1.58,0.32,77.54,0.37,-0.03,-1.32,0.61,8.274093,0.12,-0.03,0.02,-0.15,11.99,0.21,0.63,-0.03,0.09,-3396957,0,1,0,4.243,0.94,0.04,0.31,1.25,0.32,87.43,0.35,-0.04,-0.91,0.6,8.034977,0.07,0.65,0.01,2.41,12.1,0.27,0.8,-0.04,0.05,81317722,0,1,14.93846154,0.125,1.46835443,0,-0.615384615,0.101367036,-0.054054054,-2.666666667,4.121212121,-0.081967213,-0.058323251,1.25,-3.666666667,5.5,-6.466666667,-0.004170142,-0.571428571,-0.587301587,-3.666666667,14.11111111,-3.437410895,0,0
1,2014,0.158,1.18,0.03,0.22,0.31,-0.88,43.32,0.62,-0.29,34.76,0.74,7.506582,-0.86,-0.15,-0.23,-0.05,12.17,2.98,3.28,-0.15,-0.08,-20762717,1,1,0,0,1,0,0,0,0,0.129,1.21,0.03,0.22,0.27,-0.98,156.97,0.63,-0.33,18.62,0.77,7.428236,-0.75,-0.13,-0.25,-0.05,12.32,2.57,3.73,-0.09,-0.1,-19873100,1,1,0,0.075,1.35,0.03,0.22,0.27,-1.09,136.48,0.66,-0.5,29.58,0.7,8.795305,-0.65,-0.81,-0.33,-0.36,12.47,2.25,3.68,-0.21,-0.14,-145765482,1,1,0.224806202,-0.024793388,0.148148148,-0.102040816,-0.085365854,-0.724023699,-0.015873016,-0.121212121,0.866809882,-0.038961039,0.010547053,0.146666667,0.153846154,-0.08,0,-0.012175325,0.159533074,-0.120643432,0.666666667,-0.2,0.044764883,0,0
1,2013,0.088,2.97,0.27,0.26,0.41,-0.4,33.58,0.43,-0.1,23.72,0.53,6.529329,-0.62,-0.15,-0.11,-0.14,11.65,1.09,2.45,-0.15,-0.1,-12273686,0,1,0,0,0,0,0,0,0,2.299,0.16,0.27,0.26,1.83,13.55,38.37,0.45,-0.03,51.76,0.52,6.417956,0.19,0.03,0.02,0.03,11.8,0.95,0.55,0.03,0.02,2738858,0,0,0,5.847,3.09,0.27,0.26,1.91,32.23,36.78,0.46,0.04,77.53,0.53,6.340155,0.21,0.07,0.11,0.07,11.82,0.98,0.52,0.07,0.11,6317704,0,0,-0.961722488,17.5625,-0.775956284,-1.029520295,-1.668915121,-0.124837112,-0.044444444,2.333333333,-0.541731066,0.019230769,0.017353344,-4.263157895,-6,-6.5,-5.666666667,-0.012711864,0.147368421,3.454545455,-6,-6,-5.481315205,0,0
1,2010,0.311,1.15,0.06,0.39,0.57,-1.67,109.96,0.35,-0.01,0.48,0.29,1.902656,-0.41,0.01,0.13,0.01,10.27,1.05,1.74,0.01,0.13,123364,0,0,0,0,1,0,0,1,0,1.462,4.76,0.06,0.39,0.88,-9.97,108.68,0.38,-0.14,1.36,0.33,2.240426,-0.06,-0.33,-0.05,-0.32,10.25,1.05,1.13,-0.18,-0.05,-6566399,0,1,1,2.309,0.61,0.06,0.39,1.38,1.39,72.12,0.36,-0.08,1.35,0.34,1.636039,0.1,0.69,-0.05,1,10.16,0.69,0.72,-0.11,-0.08,12487558,0,1,-0.787277702,-0.758403361,-0.352272727,-0.832497492,0.14823996,0.011777696,-0.078947368,-0.928571429,-0.647058824,-0.121212121,-0.150761507,5.833333333,-1.03030303,-3.6,-1.03125,0.00195122,0,0.539823009,-1.055555556,-3.6,-1.018787162,0,0
1,2018,4.451,1.25,0.03,0.18,-0.2,0,58.22,0.25,0.37,-7,0.27,1.689496,2.2,0.72,0.77,2425298800,10.79,-1.82,-4.9,0.72,2614579700,24252988,0,0,0,0,1,0,0,0,0,4.451,1.31,0.03,0.18,-0.36,0,62.21,0.24,0.36,-8.98,0.31,1.746255,1.36,-4.5,0.7,-16026561800,10.84,-1,-2.79,0.63,2474301400,-160265618,0,0,0,4.444,1.09,0.03,0.18,-0.92,0,56.77,0.25,0.38,0,0.29,1.730967,0.7,1.31,0.64,4860964700,10.89,-0.37,-1.09,0.59,2397253900,48609647,0,0,0,-0.045801527,-0.444444444,0,0.3,-0.064137598,0.041666667,0.027777778,-0.220489978,-0.129032258,-0.032503271,0.617647059,-1.16,0.1,-1.15132995,-0.004612546,0.82,0.756272401,0.142857143,0.056694104,-1.15132995,1,1
