"Bankrupt","Year","AR_by_OpIncome","FB_Plus_OpInc_ByFB","PercentMedicaidDays","PercentMedicareDays","CurrentRatio","Debt2Equity","DaysSalesOutstanding","LaborCompRatio","OpProfitMargin","DaysCashOnHand","BedUtil","AdjPxDays","Alt1Ohls3","AltmanX2","AltmanX3","AltmanX4","OhlsonX1","OhlsonX2","OhlsonX4","OhlsonX6","OhlsonX7","OhlsonX9","OhlsonX5","OhlsonX8","Govt","Urban","ForProfit","HC1","HC2","HC4","HC5","AR_by_OpIncome.y.1.","FB_Plus_OpInc_ByFB.y.1.","PercentMedicaidDays.y.1.","PercentMedicareDays.y.1.","CurrentRatio.y.1.","Debt2Equity.y.1.","DaysSalesOutstanding.y.1.","LaborCompRatio.y.1.","OpProfitMargin.y.1.","DaysCashOnHand.y.1.","BedUtil.y.1.","AdjPxDays.y.1.","Alt1Ohls3.y.1.","AltmanX2.y.1.","AltmanX3.y.1.","AltmanX4.y.1.","OhlsonX1.y.1.","OhlsonX2.y.1.","OhlsonX4.y.1.","OhlsonX6.y.1.","OhlsonX7.y.1.","OhlsonX9.y.1.","OhlsonX5.y.1.","OhlsonX8.y.1.","HC4_5.y.1.","AR_by_OpIncome.y.2.","FB_Plus_OpInc_ByFB.y.2.","PercentMedicaidDays.y.2.","PercentMedicareDays.y.2.","CurrentRatio.y.2.","Debt2Equity.y.2.","DaysSalesOutstanding.y.2.","LaborCompRatio.y.2.","OpProfitMargin.y.2.","DaysCashOnHand.y.2.","BedUtil.y.2.","AdjPxDays.y.2.","Alt1Ohls3.y.2.","AltmanX2.y.2.","AltmanX3.y.2.","AltmanX4.y.2.","OhlsonX1.y.2.","OhlsonX2.y.2.","OhlsonX4.y.2.","OhlsonX6.y.2.","OhlsonX7.y.2.","OhlsonX9.y.2.","OhlsonX5.y.2.","OhlsonX8.y.2.","D_AR_by_OpIncome","D_FB_Plus_OpInc_ByFB","D_CurrentRatio","D_Debt2Equity","D_LiabFundBalRatio","D_DaysSalesOutstanding","D_LaborCompRatio","D_OpProfitMargin","D_DaysCashOnHand","D_BedUtil","D_AdjPxDays","D_Alt1Ohls3","D_AltmanX2","D_AltmanX3","D_AltmanX4","D_OhlsonX1","D_OhlsonX2","D_OhlsonX4","D_OhlsonX6","D_OhlsonX7","D_OhlsonX9","NegLiab.y.1.","NegLiab.y.2."
1,2018,6.452,1.11,0.07,0.32,1.42,7.33,42.09,0.39,0.01,13.63,0.5,10.236906,0.06,0.07,0.08,0.08,12.52,0.9,0.71,0.05,0.09,13020595,0,0,0,0,0,0,1,0,0,2.888,-1.34,0.07,0.32,1.32,24.58,50.57,0.42,-0.1,14.98,0.5,9.603088,0.05,-0.08,0,-0.09,12.56,0.97,0.76,-0.04,0,-16715713,0,1,0,3.876,0.52,0.07,0.32,1.81,6.77,36.42,0.41,-0.07,10.76,0.49,8.555309,0.07,-0.03,0.02,-0.03,12.56,0.88,0.55,0,0.02,-5636921,0,0,1.234072022,-1.828358209,0.075757576,-0.701790073,-0.699582754,-0.167688353,-0.071428571,-1.1,-0.09012016,0,0.066001478,0.2,-1.875,8,-1.888888889,-0.003184713,-0.072164948,-0.065789474,-2.25,9,-1.778943441,0,0
1,2018,4.282,1.25,0.05,0.29,0.52,-0.56,84.81,0.64,-0.18,12.52,0.27,3.977057,-0.7,-0.2,-0.19,-0.1,12.42,2.03,1.94,-0.21,-0.09,-34268849,0,1,0,0,0,0,1,0,0,3.643,1.28,0.05,0.29,0.61,-0.71,63.6,0.63,-0.16,10.56,0.3,4.274151,-0.49,-0.23,-0.18,-0.12,12.34,1.9,1.64,-0.22,-0.1,-35997909,0,1,0,1.528,1.61,0.05,0.29,0.49,-0.58,55.91,0.74,-0.31,6.93,0.31,4.202029,-0.75,-0.71,-0.56,-0.34,11.84,2.12,2.06,-0.63,-0.26,-68520144,0,1,0.175404886,-0.0234375,-0.147540984,-0.211267606,-0.066350711,0.333490566,0.015873016,0.125,0.185606061,-0.1,-0.069509477,0.428571429,-0.130434783,0.055555556,-0.166666667,0.006482982,0.068421053,0.182926829,-0.045454545,-0.1,-0.048032234,0,0
1,2015,2.047,0.93,0.04,0.28,1.45,0.18,41.73,0.55,-0.01,0.51,0.33,3.879716,0.11,1.94,0.13,5.32,11.06,0.36,0.69,0.05,0.34,85743801,0,0,0,0,1,0,1,0,0,0.129,1.35,0.04,0.28,1.63,-1.82,43.92,0.69,-0.16,3.54,0.25,3.741773,0.19,-0.11,-0.22,-0.06,11.47,1.86,0.61,-0.27,-0.12,-7386313,0,1,0,0.135,1.38,0.04,0.28,1.57,-2.04,45.13,0.75,-0.15,19.52,0.3,4.44588,0.19,0.21,-0.16,0.13,11.62,1.65,0.64,0.1,-0.1,16539850,0,0,14.86821705,-0.311111111,-0.110429448,-1.098901099,-1.263888889,-0.049863388,-0.202898551,-0.9375,-0.855932203,0.32,0.036865678,-0.421052632,-18.63636364,-1.590909091,-89.66666667,-0.035745423,-0.806451613,0.131147541,-1.185185185,-3.833333333,-12.6084711,0,0
1,2017,0.045,1.17,0.09,0.6,0.08,0.32,14.08,0.46,-0.09,1.75,0.38,1.295984,-2.4,-1.93,-0.17,-0.74,8.82,2.62,11.87,-0.27,-0.07,-9032738,1,1,0,1,0,0,0,0,1,0.004,-0.78,0.09,0.6,0.18,0.01,2.64,0.51,-0.19,-0.12,0.34,1.19159,-0.64,-0.36,-0.34,-0.47,9.15,0.78,5.7,-0.34,-0.44,-2381064,1,1,1,0.073,0.73,0.09,0.6,0.79,0.29,14.08,0.38,-0.05,1.18,0.31,1.061707,-0.05,0.54,-0.13,1.32,9.13,0.41,1.27,-0.14,-0.33,3474287,1,1,10.25,-2.5,-0.555555556,31,-1.460227273,4.333333333,-0.098039216,-0.526315789,-15.58333333,0.117647059,0.087608993,2.75,4.361111111,-0.5,0.574468085,-0.036065574,2.358974359,1.08245614,-0.205882353,-0.840909091,2.793572117,0,0
1,2009,3.262,1.45,0.26,0.32,0.3,-0.42,59.17,0.5,-0.14,2.58,0.44,4.772355,-1.02,-1.1,-0.31,-0.62,10.91,1.77,3.34,-0.31,-0.17,-42125409,0,1,1,0,0,1,0,0,0,2.367,-0.07,0.26,0.32,1.36,0.88,82.58,0.54,-0.16,1.25,0.89,8.361429,0.14,2.09,-0.3,3.11,10.93,0.67,0.73,0.12,-0.44,81033537,0,0,0,0.069,1.55,0.26,0.32,-0.03,-0.01,12.11,0.86,-0.69,0.05,0.5,4.142434,-6902761400,-1638136700,-3464660258,-0.24,-11.15,6737484000,-32.33,-2700964698,-0.51,-16381367,0,1,0.378115758,-21.71428571,-0.779411765,-1.477272727,-2.116504854,-0.283482683,-0.074074074,-0.125,1.064,-0.505617978,-0.4292417,-8.285714286,-1.526315789,0.033333333,-1.199356913,-0.001829826,1.641791045,3.575342466,-3.583333333,-0.613636364,-1.51985154,0,0
1,2018,4.495,1.12,0.01,0.34,-0.28,0.32,53.91,0.31,0.17,-7.52,0.2,1.279606,1.19,0.23,0.31,657601300,10.6,-0.93,-3.52,0.23,874000500,6576013,0,0,0,0,1,0,0,0,0,4.438,1.32,0.01,0.34,-0.4,0.32,51.21,0.26,0.36,-5.84,0.22,1.286564,0.97,0.45,0.59,1271592800,10.6,-0.7,-2.5,0.45,1652549500,12715928,0,0,0,4.458,1.32,0.01,0.34,-1.81,0.32,55.87,0.31,0.29,-2.83,0.24,1.348634,0.35,-1.79,0.39,-5512644000,10.7,-0.12,-0.55,0.37,1205995500,-55126440,0,0,0.012843623,-0.151515152,-0.3,0,0.170731707,0.052724077,0.192307692,-0.527777778,0.287671233,-0.090909091,-0.005408204,0.226804124,-0.488888889,-0.474576271,-0.482852294,0,0.328571429,0.408,-0.488888889,-0.471119927,-0.482852294,1,1
1,2010,0.311,1.15,0.06,0.39,0.57,-1.67,109.96,0.35,-0.01,0.48,0.29,1.902656,-0.41,0.01,0.13,0.01,10.27,1.05,1.74,0.01,0.13,123364,0,0,0,0,1,0,0,1,0,1.462,4.76,0.06,0.39,0.88,-9.97,108.68,0.38,-0.14,1.36,0.33,2.240426,-0.06,-0.33,-0.05,-0.32,10.25,1.05,1.13,-0.18,-0.05,-6566399,0,1,1,2.309,0.61,0.06,0.39,1.38,1.39,72.12,0.36,-0.08,1.35,0.34,1.636039,0.1,0.69,-0.05,1,10.16,0.69,0.72,-0.11,-0.08,12487558,0,1,-0.787277702,-0.758403361,-0.352272727,-0.832497492,0.14823996,0.011777696,-0.078947368,-0.928571429,-0.647058824,-0.121212121,-0.150761507,5.833333333,-1.03030303,-3.6,-1.03125,0.00195122,0,0.539823009,-1.055555556,-3.6,-1.018787162,0,0
1,2016,2.816,2.95,0.12,0.23,0.71,-9.18,36.65,0.57,-0.1,15.96,0.22,3.247458,-0.15,-0.11,-0.03,-0.11,11.39,1.06,1.42,-0.11,-0.03,-7050313,1,1,1,0,0,0,0,0,0,4.102,-0.09,0.12,0.23,0.79,11.17,35.27,0.55,-0.05,16.59,0.23,3.040042,-0.09,-0.09,0.03,-0.09,11.49,0.95,1.27,-0.09,0.03,-6010304,1,1,0,1.539,-0.08,0.12,0.23,1.01,4.26,36.73,0.63,-0.13,24.89,0.29,3.673114,0,-0.09,-0.06,-0.11,11.54,0.87,0.99,-0.07,-0.07,-6791023,0,1,-0.313505607,-33.77777778,-0.101265823,-1.821844226,-1.873232323,0.039126737,0.036363636,1,-0.037974684,-0.043478261,0.068228005,0.666666667,0.222222222,-2,0.222222222,-0.00870322,0.115789474,0.118110236,0.222222222,-2,0.17303767,0,0
1,2018,0.177,5.83,0.11,0.06,2.37,-55.1,38.54,0.35,-0.06,48.2,0.34,4.43574,0.27,-0.08,0,-0.08,11.22,1.01,0.42,-0.08,0,-4200702,0,1,0,0,0,0,0,0,0,5.306,1.13,0.11,0.06,2.59,11.86,35.91,0.33,0.01,50.62,0.07,3.081635,0.26,0.01,0.07,0.01,11.24,0.94,0.39,0.01,0.08,311525,0,0,0,2.273,0.36,0.11,0.06,2.96,13.57,26.48,0.38,-0.02,49.81,0.16,3.556401,0.3,-0.08,0.02,-0.08,11.25,0.94,0.34,-0.08,0.02,-4158970,0,1,-0.966641538,4.159292035,-0.084942085,-5.645868465,-5.762135922,0.073238652,0.060606061,-7,-0.047807191,3.857142857,0.439411222,0.038461538,-9,-1,-9,-0.001779359,0.074468085,0.076923077,-9,-1,-14.48431747,0,0
1,2013,0.153,-0.25,0.06,0.3,0.43,0.4,33.34,0.88,-0.55,7.93,0.63,5.221056,-0.25,-0.1,-0.44,-0.16,11.63,0.6,2.34,-0.14,-0.74,-7642405,1,1,0,0,1,1,0,0,0,0.032,0.2,0.06,0.3,0.68,0.36,39.94,0.74,-0.34,15.9,0.67,5.467567,-0.11,-0.01,-0.33,-0.01,11.66,0.52,1.47,-0.02,-0.64,-542595,1,1,0,1.488,0.86,0.06,0.3,0.85,0.4,44.4,0.6,-0.05,13.16,0.76,6.115446,-0.05,0,-0.01,0,11.67,0.52,1.18,0.01,-0.03,-40000,1,0,3.78125,-2.25,-0.367647059,0.111111111,0.401869159,-0.165247872,0.189189189,0.617647059,-0.501257862,-0.059701493,-0.04508605,1.272727273,9,0.333333333,15,-0.002572899,0.153846154,0.591836735,6,0.15625,13.08491601,0,0
